journal,invariant,hits,demange
Econometrica,11.744359335641388,9.768290879957645,9.648546675702635
Quarterly J. of Economics,11.441191415231081,9.738131615090483,10.018591432190338
J. of Economic Literature,9.259417087868352,9.488722114182128,9.648882197799956
J. of Political Economy,7.557325952161478,7.002789050457597,7.223121430082789
American Economics Review,7.523647297401351,6.907405666439003,7.011640172152385
Review of Economic Studies,7.422386654817359,5.857413600515712,5.98547473922088
J. of Monetary Economics,5.242790051238771,4.1510053913904255,4.265344529572814
J. of Economic Theory,4.003003135086554,3.389313811075302,3.2100614444558224
Games and Economic Behavior,3.740201064770648,3.339725249799938,3.0562955606224578
J. of Economics Perspectives,3.650732739071951,3.4950519069071104,3.631236294217047
J. of Econometrics,2.440611117039895,2.8102927424886484,2.90654387954339
Rand J. of Economics,2.2645559061025344,2.9416348497219817,3.1024916206559268
J. of Labor Economics,2.1191058287467897,2.83059404230026,2.8039780371254546
Economic Theory,2.115097320136396,1.4534269842671226,1.4367237201710246
J. of Human Resources,2.0469618309335194,2.6166980197520826,2.5879541517942735
Review of Economics and Stat.,1.8967463912661282,2.0573369151468306,2.060957886432451
J. of Risk and Uncertainty,1.8740080077285017,2.541309936488868,2.400907455536428
J. of Public Economics,1.8640069825228915,2.036693714183567,2.00457349288903
Econometric Theory,1.850091145203136,2.2005635475588847,2.3310629203266173
International Economic Review,1.8004015392647668,1.8813391318103867,1.863149237025868
J. of Financial Economics,1.740438825106706,2.4102127368528734,2.963686774607707
J. of Business and Ec. Stat.,1.6559949705592287,2.2257038033295027,2.1956123593655166
AER Proceedings,1.6315125269981352,1.6471144576271666,1.6863818096593186
European Economic Review,1.5100766494028521,1.6413927667239585,1.646631407538491
J. of Applied Econometrics,1.4694571135186119,1.8085547980848482,1.7499099135251799
Social Choice and Welfare,1.4592683395664943,2.3635391027617927,2.02255103896168
Int. J. of Game Theory,1.4367813979591042,1.703698716496674,1.4502450493963044
J. of Env. Econ. and Management,1.4148072980501856,2.29429285274202,2.3337053501549874
Economic Journal,1.394253541498712,1.7848592415703854,1.7492374941839413
J. of International Economics,1.323985096197276,1.9416862688174505,1.8999246661424665
J. of Ec. Dyn. and Control,1.2210038951239726,1.2508357857790295,1.1779642440560179
J. of Mathematical Economics,1.1730999000874263,1.2175688538975218,1.0793783125088379
Economic Inquiry,0.7209091661942848,0.8885508731807785,0.8495134934417313
J. of Econ. Behavior and Org.,0.588193049327463,0.8895127608509937,0.8028477864728073
Scandinavian J. of Economics,0.4717424452954448,0.8061979330624478,0.7770116647332062
Economics Letters,0.3554317531056848,0.4739476219337984,0.45728649144410305
Oxford Bull. of Ecs. and Stat.,0.3138279377208892,0.7536333296785538,0.6922565025900214
