#each row stores no. of references towards a col journal,noOfPubs,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37
American Economics Review,536,125,74,27,43,25,13,20,8,11,38,6,27,5,12,2,2,4,3,0,8,5,6,15,0,7,4,5,6,4,0,0,3,2,6,8,0,9
Quarterly J. of Economics,293,37,57,13,22,14,16,17,3,5,9,7,5,0,8,3,1,5,4,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Econometrica,366,10,11,61,7,16,2,1,1,8,11,25,1,6,4,0,12,10,2,0,2,0,0,19,9,4,3,9,1,0,3,0,0,3,0,2,3,1
J. of Political Economy,343,25,24,18,31,14,9,10,6,4,10,3,4,3,8,4,2,5,1,3,2,2,0,1,0,0,0,0,3,0,0,0,4,0,0,0,4,7
Review of Economic Studies,251,9,13,46,18,23,4,2,1,0,3,21,6,5,7,0,0,6,0,1,2,0,4,12,0,0,0,1,5,0,3,1,0,0,2,0,0,0
J. of Economic Literature,129,25,19,9,16,5,15,8,12,7,0,7,1,4,3,0,2,0,8,9,2,3,0,0,0,0,0,2,4,0,0,0,7,0,13,0,13,6
J. of Economics Perspectives,352,20,25,8,12,4,15,30,1,4,3,1,4,0,3,0,4,0,8,10,0,4,1,3,0,0,0,0,2,0,0,0,0,0,0,0,0,15
Economic Journal,598,35,17,7,19,17,12,20,48,11,3,6,7,5,19,7,4,0,6,7,2,2,2,0,0,2,4,3,4,4,0,0,0,0,9,0,0,10
Review of Economics and Stat.,469,26,25,22,9,5,9,9,7,30,8,0,8,7,4,2,26,0,9,7,8,4,0,0,3,8,9,0,5,0,0,0,4,0,4,0,0,3
J. of Monetary Economics,289,45,21,9,29,14,4,5,5,11,69,8,5,10,15,0,5,18,0,2,0,1,0,0,1,5,3,7,0,0,0,0,0,0,8,0,0,6
J. of Economic Theory,626,8,6,53,8,14,3,0,3,0,4,74,6,3,4,0,0,22,0,0,1,0,0,24,0,0,0,4,8,0,11,0,0,6,0,6,0,0
J. of Public Economics,559,37,38,9,32,8,12,10,11,3,9,21,53,6,12,0,6,1,6,4,3,2,0,0,0,4,2,0,3,6,0,0,6,0,0,0,0,10
International Economic Review,358,19,7,25,12,14,3,3,4,4,8,14,3,10,7,1,5,4,1,2,3,0,1,10,3,3,2,6,4,1,0,0,1,0,1,1,0,2
European Economic Review,712,51,43,15,40,32,14,14,14,6,20,13,14,6,46,5,7,4,3,3,6,0,0,4,0,2,0,5,10,6,0,0,0,0,3,0,0,13
J. of Financial Economics,307,16,14,2,18,2,4,4,0,1,3,1,0,1,2,125,6,0,0,0,0,0,0,0,1,2,0,0,3,0,0,0,0,0,0,0,0,1
J. of Econometrics,609,4,2,86,12,16,3,3,1,13,6,2,0,13,2,3,143,0,5,4,3,0,0,0,61,30,23,5,0,0,0,4,0,0,0,0,0,2
Economic Theory,452,18,11,30,3,15,0,5,8,0,4,45,4,8,3,0,0,28,0,0,9,2,5,44,0,0,0,12,2,0,15,0,0,5,2,4,1,0
